Filename;Object ID;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;
frame_004891.png;1;MTB; 52; 18; 61; 31;
frame_004892.png;1;MTB; 51; 18; 60; 32;
frame_004893.png;1;MTB; 49; 18; 59; 33;
frame_004894.png;1;MTB; 47; 18; 57; 35;
frame_004895.png;1;MTB; 44; 19; 55; 37;
frame_004896.png;1;MTB; 40; 19; 53; 39;
frame_004897.png;1;MTB; 35; 19; 50; 42;
frame_004898.png;1;MTB; 29; 19; 46; 47;
frame_004899.png;1;MTB; 20; 20; 41; 52;
frame_004900.png;1;MTB; 6; 22; 33; 56;
frame_004924.png;1;MTB; 56; 18; 63; 28;
frame_004925.png;1;MTB; 55; 18; 62; 28;
frame_004926.png;1;MTB; 54; 18; 61; 29;
frame_004927.png;1;MTB; 53; 18; 61; 30;
frame_004928.png;1;MTB; 52; 18; 60; 30;
frame_004929.png;1;MTB; 51; 18; 59; 32;
frame_004930.png;1;MTB; 50; 18; 59; 32;
frame_004931.png;1;MTB; 48; 19; 57; 34;
frame_004932.png;1;MTB; 45; 19; 56; 36;
frame_004933.png;1;MTB; 43; 19; 54; 37;
frame_004934.png;1;MTB; 41; 19; 52; 38;
frame_004935.png;1;MTB; 38; 19; 50; 40;
frame_004936.png;1;MTB; 34; 20; 48; 42;
frame_004937.png;1;MTB; 29; 20; 45; 44;
frame_004938.png;1;MTB; 22; 20; 42; 49;
frame_004939.png;1;MTB; 15; 21; 37; 53;
frame_004940.png;1;MTB; 3; 21; 31; 57;
frame_005976.png;1;MTB; 48; 19; 57; 34;
frame_005977.png;1;MTB; 45; 19; 56; 36;
frame_005978.png;1;MTB; 42; 20; 54; 38;
frame_005979.png;1;MTB; 38; 20; 51; 40;
frame_005980.png;1;MTB; 33; 21; 48; 43;
frame_005981.png;1;MTB; 27; 21; 44; 46;
frame_005982.png;1;MTB; 18; 22; 38; 51;
frame_005983.png;1;MTB; 6; 23; 32; 55;
frame_011497.png;1;MTB; 55; 19; 61; 29;
frame_011498.png;1;MTB; 54; 19; 60; 30;
frame_011499.png;1;MTB; 52; 19; 60; 31;
frame_011500.png;1;MTB; 51; 19; 59; 32;
frame_011501.png;1;MTB; 49; 19; 58; 33;
frame_011502.png;1;MTB; 46; 19; 56; 35;
frame_011503.png;1;MTB; 43; 20; 54; 37;
frame_011504.png;1;MTB; 39; 20; 52; 39;
frame_011505.png;1;MTB; 34; 21; 48; 42;
frame_011506.png;1;MTB; 26; 22; 43; 46;
frame_011507.png;1;MTB; 16; 23; 36; 53;
frame_011508.png;1;MTB; 1; 24; 26; 56;
frame_015109.png;1;MTB; 55; 19; 61; 30;
frame_015110.png;1;MTB; 54; 19; 60; 30;
frame_015111.png;1;MTB; 53; 19; 60; 31;
frame_015112.png;1;MTB; 52; 19; 60; 31;
frame_015113.png;1;MTB; 51; 19; 59; 32;
frame_015114.png;1;MTB; 50; 19; 58; 33;
frame_015115.png;1;MTB; 48; 19; 57; 34;
frame_015116.png;1;MTB; 47; 19; 56; 35;
frame_015117.png;1;MTB; 45; 20; 54; 36;
frame_015118.png;1;MTB; 42; 20; 53; 38;
frame_015119.png;1;MTB; 39; 20; 51; 40;
frame_015120.png;1;MTB; 36; 20; 49; 42;
frame_015121.png;1;MTB; 31; 20; 47; 45;
frame_015122.png;1;MTB; 26; 21; 43; 47;
frame_015123.png;1;MTB; 19; 22; 39; 52;
frame_015124.png;1;MTB; 10; 23; 34; 56;
frame_015125.png;1;MTB; 0; 24; 26; 59;
frame_017614.png;1;MTB; 48; 20; 57; 34;
frame_017615.png;1;MTB; 45; 20; 56; 35;
frame_017616.png;1;MTB; 41; 20; 54; 37;
frame_017617.png;1;MTB; 38; 20; 51; 39;
frame_017618.png;1;MTB; 33; 20; 48; 41;
frame_017619.png;1;MTB; 27; 22; 44; 46;
frame_017620.png;1;MTB; 19; 22; 40; 50;
frame_017621.png;1;MTB; 8; 23; 33; 55;
frame_023197.png;1;MTB; 52; 19; 61; 31;
frame_023198.png;1;MTB; 50; 19; 60; 32;
frame_023199.png;1;MTB; 49; 19; 58; 32;
frame_023200.png;1;MTB; 46; 19; 57; 34;
frame_023201.png;1;MTB; 44; 20; 55; 35;
frame_023202.png;1;MTB; 40; 20; 52; 37;
frame_023203.png;1;MTB; 35; 21; 49; 40;
frame_023204.png;1;MTB; 28; 22; 44; 42;
frame_023205.png;1;MTB; 19; 23; 39; 47;
frame_023206.png;1;MTB; 5; 24; 30; 51;
frame_028916.png;1;MTB; 50; 19; 59; 32;
frame_028917.png;1;MTB; 48; 19; 58; 33;
frame_028918.png;1;MTB; 47; 19; 57; 36;
frame_028919.png;1;MTB; 45; 20; 55; 36;
frame_028920.png;1;MTB; 41; 20; 53; 39;
frame_028921.png;1;MTB; 37; 20; 50; 39;
frame_028922.png;1;MTB; 32; 21; 47; 41;
frame_028923.png;1;MTB; 26; 21; 43; 44;
frame_028924.png;1;MTB; 19; 22; 38; 49;
frame_028925.png;1;MTB; 8; 22; 33; 53;
frame_028926.png;1;MTB; 0; 23; 23; 58;
frame_031920.png;1;MTB; 52; 20; 59; 32;
frame_031921.png;1;MTB; 50; 20; 59; 33;
frame_031922.png;1;MTB; 47; 20; 57; 34;
frame_031923.png;1;MTB; 45; 20; 55; 36;
frame_031924.png;1;MTB; 42; 20; 53; 39;
frame_031925.png;1;MTB; 39; 20; 51; 39;
frame_031926.png;1;MTB; 35; 21; 48; 42;
frame_031927.png;1;MTB; 30; 21; 45; 45;
frame_031928.png;1;MTB; 24; 21; 41; 49;
frame_031929.png;1;MTB; 16; 22; 36; 53;
frame_031930.png;1;MTB; 4; 23; 30; 57;
frame_033091.png;1;MTB; 52; 20; 60; 32;
frame_033092.png;1;MTB; 51; 20; 60; 34;
frame_033093.png;1;MTB; 49; 20; 59; 35;
frame_033094.png;1;MTB; 47; 20; 58; 35;
frame_033095.png;1;MTB; 45; 20; 56; 35;
frame_033096.png;1;MTB; 43; 20; 55; 37;
frame_033097.png;1;MTB; 40; 20; 53; 39;
frame_033098.png;1;MTB; 37; 20; 51; 40;
frame_033099.png;1;MTB; 33; 21; 48; 43;
frame_033100.png;1;MTB; 28; 21; 44; 46;
frame_033101.png;1;MTB; 22; 22; 41; 50;
frame_033102.png;1;MTB; 13; 23; 36; 55;
frame_033103.png;1;MTB; 2; 23; 30; 59;
frame_035201.png;1;MTB; 46; 20; 56; 34;
frame_035202.png;1;MTB; 44; 20; 55; 35;
frame_035203.png;1;MTB; 40; 21; 54; 39;
frame_035204.png;1;MTB; 35; 21; 49; 42;
frame_035205.png;1;MTB; 28; 22; 44; 45;
frame_035206.png;1;MTB; 19; 23; 38; 52;
frame_035207.png;1;MTB; 7; 24; 31; 56;
frame_041897.png;1;MTB; 51; 21; 59; 36;
frame_041898.png;1;MTB; 49; 21; 57; 36;
frame_041899.png;1;MTB; 48; 21; 56; 37;
frame_041900.png;1;MTB; 46; 21; 55; 38;
frame_041901.png;1;MTB; 43; 21; 53; 40;
frame_041902.png;1;MTB; 39; 22; 51; 43;
frame_041903.png;1;MTB; 34; 22; 48; 45;
frame_041904.png;1;MTB; 28; 22; 45; 49;
frame_041905.png;1;MTB; 20; 23; 41; 55;
frame_041906.png;1;MTB; 10; 24; 35; 57;
frame_041907.png;1;MTB; 0; 25; 26; 59;
frame_041917.png;1;MTB; 50; 20; 59; 35;
frame_041918.png;1;MTB; 48; 20; 58; 36;
frame_041919.png;1;MTB; 46; 20; 57; 38;
frame_041920.png;1;MTB; 44; 21; 55; 39;
frame_041921.png;1;MTB; 41; 21; 53; 41;
frame_041922.png;1;MTB; 37; 21; 50; 44;
frame_041923.png;1;MTB; 32; 22; 47; 47;
frame_041924.png;1;MTB; 26; 22; 43; 51;
frame_041925.png;1;MTB; 18; 23; 38; 55;
frame_041926.png;1;MTB; 7; 24; 31; 58;
frame_042891.png;1;MTB; 50; 21; 57; 33;
frame_042892.png;1;MTB; 48; 21; 57; 35;
frame_042893.png;1;MTB; 45; 22; 56; 39;
frame_042894.png;1;MTB; 42; 22; 54; 41;
frame_042895.png;1;MTB; 38; 22; 51; 43;
frame_042896.png;1;MTB; 33; 23; 47; 46;
frame_042897.png;1;MTB; 26; 24; 43; 50;
frame_042898.png;1;MTB; 18; 25; 40; 52;
frame_042899.png;1;MTB; 5; 27; 31; 58;
frame_043799.png;1;MTB; 48; 21; 57; 35;
frame_043800.png;1;MTB; 45; 21; 56; 36;
frame_043801.png;1;MTB; 42; 21; 53; 36;
frame_043802.png;1;MTB; 38; 22; 50; 41;
frame_043803.png;1;MTB; 32; 22; 46; 44;
frame_043804.png;1;MTB; 24; 23; 41; 49;
frame_043805.png;1;MTB; 14; 24; 33; 55;
frame_043806.png;1;MTB; 0; 25; 23; 58;
frame_045024.png;1;MTB; 49; 21; 57; 32;
frame_045025.png;1;MTB; 46; 21; 55; 37;
frame_045026.png;1;MTB; 43; 21; 53; 38;
frame_045027.png;1;MTB; 38; 22; 51; 40;
frame_045028.png;1;MTB; 34; 22; 48; 42;
frame_045029.png;1;MTB; 28; 23; 44; 47;
frame_045030.png;2;MTB; 19; 24; 40; 54;
frame_045031.png;1;MTB; 10; 24; 34; 56;
frame_045032.png;1;MTB; 0; 26; 24; 59;
frame_045890.png;1;MTB; 47; 21; 57; 36;
frame_045891.png;1;MTB; 44; 21; 55; 40;
frame_045892.png;1;MTB; 41; 22; 53; 41;
frame_045893.png;1;MTB; 36; 22; 50; 42;
frame_045894.png;1;MTB; 30; 23; 47; 49;
frame_045895.png;1;MTB; 22; 23; 42; 54;
frame_045896.png;1;MTB; 11; 25; 34; 58;
frame_045897.png;1;MTB; 0; 25; 23; 59;
frame_046109.png;1;MTB; 49; 21; 57; 34;
frame_046110.png;1;MTB; 47; 21; 57; 35;
frame_046111.png;1;MTB; 45; 21; 56; 36;
frame_046112.png;1;MTB; 42; 22; 54; 38;
frame_046113.png;1;MTB; 39; 22; 52; 40;
frame_046114.png;1;MTB; 35; 22; 49; 42;
frame_046115.png;1;MTB; 30; 23; 46; 45;
frame_046116.png;1;MTB; 22; 23; 42; 52;
frame_046117.png;1;MTB; 12; 25; 36; 56;
frame_046118.png;1;MTB; 0; 25; 27; 59;
frame_046250.png;1;MTB; 48; 21; 57; 37;
frame_046251.png;1;MTB; 47; 21; 56; 39;
frame_046252.png;1;MTB; 45; 21; 54; 39;
frame_046253.png;1;MTB; 42; 21; 52; 42;
frame_046254.png;1;MTB; 38; 21; 50; 43;
frame_046255.png;1;MTB; 34; 21; 47; 47;
frame_046256.png;1;MTB; 28; 22; 44; 50;
frame_046257.png;1;MTB; 22; 22; 40; 56;
