MTB;PED;;;;;
11:09:04.122;14:31:41.730;
11:09:08.451;14:31:42.729;
11:11:04.335;;
11:21:17.499;;
11:27:58.986;;
11:32:36.153;;
11:42:55.977;;
11:50:11.985;;
11:53:30.897;;
11:59:04.452;;
12:01:14.544;;
12:05:08.088;;
12:17:31.788;;
12:17:34.008;;
12:19:21.900;;
12:21:02.577;;
12:23:18.663;;
12:24:54.678;;
12:25:19.209;;
12:25:34.971;;
12:25:37.635;;
12:27:03.771;;
12:30:15.357;;
12:30:20.796;;
12:35:28.377;;
12:35:30.708;;
12:35:32.151;;
12:41:59.430;;
12:49:08.001;;
12:50:37.800;;
12:51:50.949;;
12:54:48.660;;
13:05:30.129;;
13:05:36.456;;
13:05:37.233;;
13:06:19.746;;
13:06:32.067;;
13:12:48.246;;
13:12:49.467;;
13:12:50.133;;
13:13:29.094;;
13:13:30.426;;
13:13:52.848;;
14:08:01.596;;
14:08:02.151;;
14:09:05.976;;
14:09:06.975;;
14:09:07.863;;
14:09:08.640;;
14:09:11.859;;
14:09:12.636;;
14:09:13.413;;
14:09:14.301;;
14:09:15.411;;
14:09:15.966;;
14:09:16.743;;
14:09:17.298;;
14:28:43.131;;
14:28:43.797;;
14:31:20.529;;
14:31:21.417;;
15:14:08.736;;
15:14:09.957;;
15:14:15.507;;
